num,category,method_name,description,output_pattern
1,colaboração,Mesa Redonda de Stakeholders,Reúna múltiplas personas para contribuir com perspectivas diversas - essencial para levantamento de requisitos e busca de soluções equilibradas entre interesses conflitantes,perspectivas → síntese → alinhamento
2,colaboração,Revisão do Painel de Especialistas,Reúna especialistas do domínio para uma análise especializada profunda - ideal quando profundidade técnica e qualidade de revisão por pares são necessárias,visões de especialistas → consenso → recomendações
3,colaboração,Duelo do Clube de Debate,Duas personas defendem posições opostas enquanto um moderador atribui pontos - ótimo para explorar decisões controversas e encontrar um meio-termo,tese → antítese → síntese
4,colaboração,Grupo de Foco de Personas de Usuários,Reúna as personas de usuários do seu produto para reagir a propostas e compartilhar frustrações - essencial para validar funcionalidades e descobrir necessidades não atendidas,reações → preocupações → prioridades
5,colaboração,Conselho do Viajante do Tempo,O "você do passado" e o "você do futuro" aconselham o "você do presente" em decisões - poderoso para ganhar perspectiva sobre consequências de longo prazo vs. pressões de curto prazo,sabedoria do passado → escolha presente → impacto futuro
6,colaboração,Sala de Guerra Multifuncional,Gerente de produto + engenheiro + designer abordam um problema juntos - revela trade-offs entre viabilidade técnica facilidade de uso e valor de negócio,restrições → trade-offs → solução equilibrada
7,colaboração,Mentor e Aprendiz,Especialista sênior ensina o júnior enquanto o júnior faz perguntas ingênuas - faz emergir suposições ocultas através do ensino,explicação → perguntas → compreensão profunda
8,colaboração,Policial Bom e Policial Mau,Uma persona de apoio e uma crítica se alternam - encontra tanto pontos fortes para construir quanto pontos fracos para abordar,encorajamento → crítica → visão equilibrada
9,colaboração,Improviso "Sim e Além",Múltiplas personas constroem sobre as ideias umas das outras sem bloquear - gera direções criativas inesperadas através da construção colaborativa,ideia → construção → construção → resultado surpreendente
10,colaboração,Teatro de Suporte ao Cliente,Cliente irritado e representante de suporte fazem um roleplay para encontrar pontos de dor - revela frustrações reais dos usuários e lacunas no serviço,reclamação → investigação → resolução → prevenção
11,avançado,Árvore de Pensamentos,Explore múltiplos caminhos de raciocínio simultaneamente e depois avalie e selecione o melhor - perfeito para problemas complexos com múltiplas abordagens válidas,caminhos → avaliação → seleção
12,avançado,Grafo de Pensamentos,Modele o raciocínio como uma rede interconectada de ideias para revelar relacionamentos ocultos - ideal para pensamento sistêmico e descoberta de padrões emergentes,nós → conexões → padrões
13,avançado,Fio do Pensamento,Mantenha um raciocínio coerente em contextos longos tecendo um fio narrativo contínuo - essencial para sistemas RAG e manutenção da consistência,contexto → fio → síntese
14,avançado,Validação de Autoconsistência,Gere múltiplas abordagens independentes e depois compare a consistência - crucial para decisões de alto risco onde a verificação importa,abordagens → comparação → consenso
15,avançado,Análise de Meta-Prompting,Dê um passo atrás para analisar a estrutura da abordagem e a própria metodologia - valioso para otimizar prompts e melhorar a resolução de problemas,atual → análise → otimização
16,avançado,Raciocínio via Planejamento,Construa uma árvore de raciocínio guiada por modelos de mundo e estados objetivos - excelente para planejamento estratégico e tomada de decisão sequencial,modelo → planejamento → estratégia
17,competitivo,Red Team vs Blue Team,Análise adversarial de ataque e defesa para encontrar vulnerabilidades - crítico para testes de segurança e construção de soluções robustas,defesa → ataque → endurecimento
18,competitivo,Shark Tank Pitch,Empreendedor apresenta sua ideia para investidores céticos que procuram falhas - testa o estresse da viabilidade do negócio e força clareza na proposta de valor,apresentação → desafios → refinamento
19,competitivo,Maratona de Revisão de Código,Desenvolvedores sêniores com filosofias diferentes revisam o mesmo código - traz à tona debates de estilo e encontra consenso sobre melhores práticas,revisões → debates → padrões
20,técnico,Registros de Decisão de Arquitetura (ADR),Múltiplas personas de arquitetos propõem e debatem escolhas arquitetônicas com trade-offs explícitos - garante que as decisões sejam bem fundamentadas e documentadas,opções → trade-offs → decisão → justificativa
21,técnico,Depuração com Patinho de Borracha Evoluído,Explique seu código para patinhos progressivamente mais técnicos até encontrar o bug - força clareza em múltiplos níveis de abstração,simples → detalhado → técnico → "aha!"
22,técnico,Olimpíadas de Algoritmos,Múltiplas abordagens competem no mesmo problema com benchmarks - encontra a solução ideal através da comparação direta,implementações → benchmarks → vencedor
23,técnico,Personas de Auditoria de Segurança,Hacker + defensor + auditor examinam o sistema a partir de diferentes modelos de ameaça - revisão de segurança abrangente de múltiplos ângulos,vulnerabilidades → defesas → conformidade
24,técnico,Painel de Perfiladores de Performance,Especialista em banco de dados + especialista em frontend + engenheiro de DevOps diagnosticam lentidão - encontra gargalos em toda a stack,sintomas → análise → otimizações
25,criativo,Método SCAMPER,Aplique sete lentes de criatividade (Substituir/Combinar/Adaptar/Modificar/Propor outro uso/Eliminar/Reorganizar) - ideação sistemática para inovação de produtos,S→C→A→M→P→E→R
26,criativo,Engenharia Reversa,Trabalhe de trás para frente a partir do resultado desejado para encontrar o caminho de implementação - poderoso para alcance de metas e compreensão de pontos finais,estado final → passos para trás → caminho à frente
27,criativo,Cenários "E Se",Explore realidades alternativas para entender possibilidades e implicações - valioso para planejamento de contingência e exploração,cenários → implicações → insights
28,criativo,Estímulo de Entrada Aleatória,Injete conceitos não relacionados para gerar conexões inesperadas - quebra bloqueios criativos através do pensamento lateral forçado,palavra aleatória → associações → ideias novas
29,criativo,Brainstorm Cadáver Esquisito,Cada persona adiciona à ideia vendo apenas a contribuição anterior - gera combinações surpreendentes através de colaboração restrita,contribuição → passagem → contribuição → surpresa
30,criativo,Mix de Gêneros,Combine dois domínios não relacionados para encontrar abordagens frescas - inovação através da polinização cruzada inesperada,domínio A + domínio B → insights híbridos
31,pesquisa,Personas de Revisão de Literatura,Pesquisador otimista + pesquisador cético + sintetizador revisam fontes - avaliação equilibrada da qualidade das evidências,fontes → críticas → síntese
32,pesquisa,Simulação de Defesa de Tese,Estudante defende hipótese contra um comitê com diferentes preocupações - testa o estresse da metodologia de pesquisa e conclusões,tese → desafios → defesa → refinamentos
33,pesquisa,Matriz de Análise Comparativa,Múltiplos analistas avaliam opções contra critérios ponderados - tomada de decisão estruturada com pontuação explícita,opções → critérios → pontuações → recomendação
34,risco,Análise Pré-mortem,Imagine uma falha futura e trabalhe de trás para frente para evitá-la - técnica poderosa para mitigação de riscos antes de lançamentos importantes,cenário de falha → causas → prevenção
35,risco,Análise de Modo de Falha,Explore sistematicamente como cada componente poderia falhar - crítico para engenharia de confiabilidade e sistemas de segurança crítica,componentes → falhas → prevenção
36,risco,Desafio sob Perspectiva Crítica,Atue como advogado do diabo para testar o estresse das ideias e encontrar fraquezas - essencial para superar o pensamento de grupo (groupthink),suposições → desafios → fortalecimento
